S	N	E	A	M	I	K	L	O	T
0.0000001	0.0000001	4	3	4	6	4	6	4	2
0.0000001	0.0000001	3	4	5	5	3	7	4	3
4	3	0.0000001	1	2	1	0.0000001	3	0.0000001	6
3	4	1	0.0000001	1	2	1	4	0.0000001	4
4	5	2	1	0.0000001	4	3	4	1	5
6	5	1	2	4	0.0000001	0.0000001	2	1	6
4	3	0.0000001	1	3	0.0000001	0.0000001	2	1	6
6	7	3	4	4	2	2	0.0000001	6	3
4	4	0.0000001	0.0000001	1	1	1	6	0.0000001	4
2	3	6	4	5	6	6	3	4	0.0000001

S	N	E	A	M	I	K	L	O	T
0.0000001	2	4	2	3	4	5	3	2	2
2	0.0000001	2	3	4	5	3	8	3	5
4	2	0.0000001	1	2	3	1	5	1	4
2	3	1	0.0000001	1	2	3	4	0.0000001	3
3	4	2	1	0.0000001	1	4	4	1	4
4	5	3	2	1	0.0000001	3	3	2	4
5	3	1	3	4	3	0.0000001	6	3	8
3	8	5	4	4	3	6	0.0000001	5	1
2	3	1	0.0000001	1	2	3	5	0.0000001	3
2	5	4	3	4	4	8	1	3	0.0000001

S	N	E	A	M	I	K	L	O	T
0.0000001	3	3	1	2	3	6	2	1	1
3	0.0000001	1	2	3	4	3	6	2	5
3	1	0.0000001	1	2	3	3	5	1	4
1	2	1	0.0000001	1	1	4	3	0.0000001	3
2	3	2	1	0.0000001	0.0000001	5	2	1	3
3	4	3	1	0.0000001	0.0000001	5	2	1	3
6	3	3	4	5	5	0.0000001	7	4	7
2	6	5	3	2	2	7	0.0000001	3	1
1	2	1	0.0000001	1	1	4	3	0.0000001	3
1	5	4	3	3	3	7	1	3	0.0000001

END
